¿Qué es la fotosíntesis?	Proceso de conversión de la luz solar en energía química.	Proceso de descomposición de materia orgánica.	Proceso de síntesis de proteínas en las células.	Proceso de conversión de la luz solar en energía química.
¿Cuál es la diferencia entre ADN y ARN?	El ADN es de una sola cadena, y el ARN es una doble hélice.	El ADN almacena información genética, y el ARN ayuda en la síntesis de proteínas.	El ADN se encuentra solo en células vegetales, mientras que el ARN está en células animales.	El ADN almacena información genética, y el ARN ayuda en la síntesis de proteínas.
¿Qué es la mitosis?	Proceso de división celular en células sexuales.	Proceso de división celular que resulta en dos células idénticas.	Proceso de alimentación celular en organismos unicelulares.	Proceso de división celular que resulta en dos células idénticas.
¿Cuántos litros de sangre tiene una persona adulta?	Tiene entre 2 y 4 litros	Tiene entre 4 y 6 litros	Tiene 10 litros	Tiene 7 litros	Tiene entre 4 y 6 litros.
¿Cuánto tiempo tarda la luz del Sol en llegar a la Tierra?	12 minutos	12 horas	8 minutos	8 segundos	8 minutos.
¿Cuál es la diferencia entre anfibios y reptiles?	Los reptiles tienen sangre fría y los anfibios no	Los anfibios tienen garras y los reptiles no	Los reptiles tienen huevos de cáscara dura y los anfibios no.	Los anfibios son omnívoros y los reptiles no	Los reptiles tienen sangre fría y los anfibios no.
¿Cómo se llaman los vasos que transportan la sangre desde el corazón al resto del cuerpo?	Arterias	Venas	Capilares	Articulaciones	Arterias
¿Cuál es la diferencia entre un ácido y una base?	Los ácidos tienen un pH mayor a 7, y las bases tienen un pH menor a 7.	Los ácidos tienen un sabor amargo, y las bases tienen un sabor agrio.	Los ácidos tienen un pH menor a 7, y las bases tienen un pH mayor a 7.	Ninguna de las anteriores.	Los ácidos tienen un pH menor a 7, y las bases tienen un pH mayor a 7.
¿Qué es la tabla periódica de los elementos?	Una lista de elementos químicos en orden alfabético.	Una representación gráfica de elementos organizados por su número atómico y propiedades.	Una lista de elementos clasificados por su masa molecular.	Todas las anteriores	Una representación gráfica de elementos organizados por su número atómico y propiedades.
¿Qué es una reacción de oxidación-reducción (redox)?	Una reacción química que no implica transferencia de electrones.	Una reacción en la que hay transferencia de electrones entre sustancias.	Una reacción que solo ocurre en presencia de luz solar.	Ninguna de las anteriores	Una reacción en la que hay transferencia de electrones entre sustancias.
La sal común está formada por dos elementos, ¿cuáles son?	Sodio y potasio	Sodio y cloro	Sodio y carbono	Potasio y cloro	Sodio y cloro.
¿En qué orden se presentaron los modelos atómicos?	Thomson, Dalton, Rutherford, Bohr	Dalton, Thomson, Rutherford, cuántico	Bohr, Rutherford, cuántico, Einstein	Rutherford, Dalton, Thomson, cuántico	Thomson, Dalton, Rutherford, Bohr.
¿A qué compuesto corresponde la fórmula química H2O2?	Agua hidrogenada	Agua oxigenada	Agua destilada	Agua contaminada	Respuesta: Agua oxigenada.
El Sol está compuesto principalmente por:	Luz y energía	Hidrógeno y helio	Asteroides y cometas	Hierro y níquel	Hidrógeno y helio.
¿Cuál es la ley de la gravedad de Newton?	La fuerza es inversamente proporcional a la distancia entre objetos.	La fuerza es directamente proporcional al cuadrado de la distancia entre objetos.	La fuerza es directamente proporcional al producto de las masas e inversamente proporcional al cuadrado de la distancia entre objetos.	Ninguna de las alteriores	La fuerza es directamente proporcional al producto de las masas e inversamente proporcional al cuadrado de la distancia entre objetos.
¿Qué es la ley de la conservación de la energía?	La energía se crea constantemente en el universo.	La energía no puede ser destruida ni creada, solo transformada de una forma a otra.	La energía sólo se conserva en sistemas cerrados.	La energía viaja siempre en el aire.	La energía no puede ser destruida ni creada, solo transformada de una forma a otra.
¿Qué es la ley de Ohm en electricidad?	La corriente es directamente proporcional al voltaje e inversamente proporcional a la resistencia.	La corriente es inversamente proporcional al voltaje y directamente proporcional a la resistencia.	La corriente es independiente tanto del voltaje como de la resistencia.	Ninguna de las anteriores	La corriente es directamente proporcional al voltaje e inversamente proporcional a la resistencia.
¿Cuál es la velocidad de la luz?	300 000 000 metros por segundo	199 792 458 metros por segundo	299 792 458 metros por segundo	350 000 000 metros por segundo	299 792 458 metros por segundo.
¿En qué unidad se mide la presión?	Newton	Kg	m/s	Pascales	Pascales.
¿Quién originó esa frase?: “Dadme un punto de apoyo y moveré el mundo”	Sócrates	Demócrito	Arquimedes	Aristoteles	Arquimedes.
